ID,Name,Industry,Inception,Employees,State,City,Revenue,Expenses,Profit,Growth
5065,Comparejson,Software,2012,337,MN,Alpharetta,"$11,024,019","765,831 Dollars",,46%
5066,Pickledcanoeing,IT Services,2013,205,DC,New York,"$6,458,564","5,929,1036 Dollars",,86%
5067,Assurehelp,Retail,2007,196,CA,Lake Charles,"$18,370,175","1,417,864 Dollars",,11%
5068,Shrimpssecurity,IT Services,2019,105,ME,Cheektowaga,"$8,068,035","3,439,436 Dollars",,66%
5069,Rawfishcomplete,Software,2008,300,MN,Cambridge,"$3,832,899","6,500,908 Dollars",,58%
5070,Buretteadmirable,IT Services,2021,27,TX,WAYNE,"$177,981","7,237,591 Dollars",,83%
5071,Inventtremendous,Financial Services,2016,307,MI,Santa Clara,"$11,292,362","2,005,403 Dollars",,7%
5072,Overviewparrot,Construction,2020,487,CA,Orem,"$13,329,571","3,330,1037 Dollars",,12%
5073,Belaguerra,IT Services,2014,396,WI,Seattle,"$2,524,667","9,331,629 Dollars",,85%
5074,Allpossible,Financial Services,2010,409,OH,Rancho Dominguez,"$10,800,791","7,065,551 Dollars",,9%
5075,Comparejson,Health,2014,147,PA,Herndon,"$19,628,091","2,563,708 Dollars",,27%
5076,Pickledcanoeing,IT Services,2006,285,NV,Nashville,"$9,856,820","765,832 Dollars",,77%
5077,Assurehelp,Health,2010,243,NC,Williamsville,"$9,609,347","5,929,1037 Dollars",,18%
5078,Shrimpssecurity,Government Services,2019,277,VA,Mount Laurel,"$17,985,204","1,417,865 Dollars",,14%
5079,Rawfishcomplete,Construction,2005,123,MD,Santa Barbara,"$2,480,712","3,439,437 Dollars",,14%
5080,Buretteadmirable,Health,2022,287,TX,Boca Raton,"$707,053","6,500,909 Dollars",,19%
5081,Inventtremendous,IT Services,2009,87,IL,Billerica,"$18,328,286","7,237,592 Dollars",,67%
5082,Overviewparrot,Government Services,2009,108,OH,Dallas,"$18,255,539","2,005,404 Dollars",,13%
5083,Belaguerra,Retail,2016,29,MN,Lyndhurst,"$2,211,370","3,330,1038 Dollars",,14%
5084,Allpossible,Software,2018,400,DC,San Francisco,"$17,150,000","9,331,630 Dollars",,59%
5085,Comparejson,Government Services,2020,172,CA,Millersville,"$10,876,730","7,065,552 Dollars",,11%
5086,Pickledcanoeing,Health,2018,166,ME,Clarksville,"$1,089,263","2,563,709 Dollars",,2%
5087,Assurehelp,IT Services,2017,100,MN,Ashburn,"$2,238,909","765,833 Dollars",,77%
5088,Shrimpssecurity,Software,2010,464,TX,Iselin,"$3,243,147","5,929,1038 Dollars",,56%
5089,Rawfishcomplete,Construction,2011,460,MI,Sandy,"$19,206,128","1,417,866 Dollars",,6%
5090,Buretteadmirable,Health,2012,35,CA,Santa Barbara,"$16,258,884","3,439,438 Dollars",,17%
5091,Inventtremendous,Government Services,2018,357,WI,FRISCO,"$13,393,747","6,500,910 Dollars",,10%
5092,Overviewparrot,Software,2005,196,OH,Fairfax,"$17,871,075","7,237,593 Dollars",,44%
5093,Belaguerra,Construction,2014,355,PA,Atlanta,"$7,746,334","2,005,405 Dollars",,6%
5094,Allpossible,Software,2020,158,NV,Provo,"$8,779,105","3,330,1039 Dollars",,59%
5095,Comparejson,IT Services,2012,332,NC,Fredericksburg,"$9,420,467","9,331,631 Dollars",,73%
5096,Pickledcanoeing,Software,2005,211,VA,Arlington,"$3,847,507","7,065,553 Dollars",,40%
5097,Assurehelp,IT Services,2016,280,MD,Madison Heights,"$810,423","2,563,710 Dollars",,70%
5098,Shrimpssecurity,Health,2005,487,TX,Tucson,"$13,480,642","765,834 Dollars",,2%
5099,Rawfishcomplete,IT Services,2019,17,IL,Northampton,"$12,675,860","5,929,1039 Dollars",,90%
5100,Buretteadmirable,Financial Services,2022,1,OH,Winter Garden,"$12,571,323","1,417,867 Dollars",,12%
5101,Inventtremendous,Financial Services,2008,441,MN,Columbia,"$6,039,581","3,439,439 Dollars",,14%
5102,Overviewparrot,Retail,2014,73,DC,Cicero,"$17,338,716","6,500,911 Dollars",,10%
5103,Belaguerra,Construction,2013,186,CA,Morrisville,"$8,098,520","7,237,594 Dollars",,22%
5104,Allpossible,Financial Services,2006,193,ME,Philadelphia,"$14,219,634","2,005,406 Dollars",,7%
5105,Comparejson,Health,2017,342,MN,Hopewell Junction,"$4,531,275","3,330,1040 Dollars",,20%
5106,Pickledcanoeing,Health,2012,221,TX,Princeton,"$11,210,184","9,331,632 Dollars",,2%
5107,Assurehelp,Software,2005,322,MI,Buffalo,"$9,304,798","7,065,554 Dollars",,45%
5108,Shrimpssecurity,Construction,2013,409,CA,Plymouth Meeting,"$5,333,273","2,563,711 Dollars",,8%
5109,Rawfishcomplete,Construction,2015,60,WI,Centennial,"$19,242,778","765,835 Dollars",,22%
5110,Buretteadmirable,Construction,2018,155,OH,PEARLAND,"$562,098","5,929,1040 Dollars",,4%
5111,Inventtremendous,Health,2021,312,PA,Lakewood,"$15,431,875","1,417,868 Dollars",,5%
5112,Overviewparrot,Health,2019,76,NV,Frisco,"$8,147,126","3,439,440 Dollars",,5%
5113,Belaguerra,Construction,2011,267,NC,Novi,"$3,513,933","6,500,912 Dollars",,27%
5114,Allpossible,Retail,2013,498,VA,Atlanta,"$5,109,189","7,237,595 Dollars",,15%
5115,Comparejson,Government Services,2019,231,MD,Bethesda,"$7,367,552","2,005,407 Dollars",,5%
5116,Pickledcanoeing,Government Services,2013,93,TX,Bethesda,"$10,889,068","3,330,1041 Dollars",,5%
5117,Assurehelp,Health,2017,286,IL,Orlando,"$7,793,073","9,331,633 Dollars",,20%
5118,Shrimpssecurity,IT Services,2017,146,OH,Richmond,"$2,436,659","7,065,555 Dollars",,89%
5119,Rawfishcomplete,Financial Services,2020,18,MN,Indianapolis,"$1,763,777","2,563,712 Dollars",,12%
5120,Buretteadmirable,IT Services,2017,159,DC,Hickory Hills,"$15,803,054","765,836 Dollars",,70%
5121,Inventtremendous,Financial Services,2013,152,CA,Fresno,"$17,381,495","5,929,1041 Dollars",,12%
5122,Overviewparrot,Financial Services,2008,346,ME,Washington,"$4,898,890","1,417,869 Dollars",,7%
5123,Belaguerra,IT Services,2010,33,MN,Providence,"$1,579,078","3,439,441 Dollars",,85%
5124,Allpossible,Software,2007,366,TX,New Haven,"$6,539,715","6,500,913 Dollars",,63%
5125,Comparejson,Software,2014,159,MI,Sandy,"$11,631,601","7,237,596 Dollars",,50%
5126,Pickledcanoeing,IT Services,2005,76,CA,Rockville,"$17,311,510","2,005,408 Dollars",,60%
5127,Assurehelp,Construction,2020,342,WI,Bloomington,"$3,014,822","3,330,1042 Dollars",,14%
5128,Shrimpssecurity,Government Services,2016,103,OH,Wichita,"$7,800,383","9,331,634 Dollars",,11%
5129,Rawfishcomplete,Health,2005,277,PA,San Diego,"$443,767","7,065,556 Dollars",,20%
5130,Buretteadmirable,Software,2017,364,NV,San Diego,"$17,611,322","2,563,713 Dollars",,63%
5131,Inventtremendous,Construction,2020,420,NC,Omaha,"$11,418,737","765,837 Dollars",,18%
5132,Overviewparrot,Retail,2017,21,VA,New York,"$10,498,878","5,929,1042 Dollars",,14%
5133,Belaguerra,Software,2011,103,MD,Winter Garden,"$13,536,128","1,417,870 Dollars",,46%
5134,Allpossible,Software,2010,142,TX,Boston,"$9,846,204","3,439,442 Dollars",,46%
5135,Comparejson,Software,2007,206,IL,Dallas,"$8,540,218","6,500,914 Dollars",,52%
5136,Pickledcanoeing,Retail,2005,352,OH,Lubbock,"$1,742,817","7,237,597 Dollars",,15%
5137,Assurehelp,Health,2006,221,MN,Burbank,"$17,741,794","2,005,409 Dollars",,21%
5138,Shrimpssecurity,Construction,2006,257,DC,Reston,"$11,555,043","3,330,1043 Dollars",,27%
5139,Rawfishcomplete,IT Services,2020,318,CA,Wilmington,"$6,373,982","9,331,635 Dollars",,81%
5140,Buretteadmirable,IT Services,2008,448,ME,Austin,"$6,810,134","7,065,557 Dollars",,89%
5141,Inventtremendous,IT Services,2012,116,MN,Minneapolis,"$9,817,449","2,563,714 Dollars",,80%
5142,Overviewparrot,Financial Services,2007,148,TX,San Clemente,"$1,774,974","765,838 Dollars",,5%
5143,Belaguerra,Financial Services,2014,199,MI,Horsham,"$14,004,613","5,929,1043 Dollars",,13%
5144,Allpossible,Financial Services,2009,60,CA,Chicago,"$5,883,078","1,417,871 Dollars",,11%
5145,Comparejson,Government Services,2021,338,WI,San Diego,"$17,451,328","3,439,443 Dollars",,11%
5146,Pickledcanoeing,Health,2009,419,OH,San Diego,"$19,875,478","6,500,915 Dollars",,24%
5147,Assurehelp,Health,2007,224,PA,Overland Park,"$13,839,017","7,237,598 Dollars",,13%
5148,Shrimpssecurity,Software,2018,345,NV,Boston,"$11,202,225","2,005,410 Dollars",,64%
5149,Rawfishcomplete,Construction,2018,231,NC,Portland,"$4,889,832","3,330,1044 Dollars",,8%
5150,Buretteadmirable,Government Services,2011,472,VA,Chelmsford,"$16,003,922","9,331,636 Dollars",,13%
5151,Inventtremendous,Construction,2022,418,MD,Seattle,"$16,914,507","7,065,558 Dollars",,26%
5152,Overviewparrot,IT Services,2010,195,TX,Waxhaw,"$10,177,362","2,563,715 Dollars",,77%
5153,Belaguerra,Retail,2022,438,IL,Reston,"$14,954,244","765,839 Dollars",,14%
5154,Allpossible,Software,2013,268,OH,Blacksburg,"$11,466,171","5,929,1044 Dollars",,49%
5155,Comparejson,IT Services,2011,481,MN,Elk Grove Village,"$3,509,302","1,417,872 Dollars",,78%
5156,Pickledcanoeing,Government Services,2017,311,DC,Clearwater,"$14,494,451","3,439,444 Dollars",,10%
5157,Assurehelp,Retail,2018,90,CA,Baltimore,"$14,257,817","6,500,916 Dollars",,12%
5158,Shrimpssecurity,Software,2010,306,ME,Hamilton,"$9,882,103","7,237,599 Dollars",,43%
5159,Rawfishcomplete,Government Services,2013,275,MN,Houston,"$13,624,588","2,005,411 Dollars",,6%
5160,Buretteadmirable,Government Services,2015,21,TX,San Jose,"$9,202,701","3,330,1045 Dollars",,10%
5161,Inventtremendous,IT Services,2017,268,MI,Redmond,"$7,057,501","9,331,637 Dollars",,69%
5162,Overviewparrot,Financial Services,2005,263,CA,Fort Walton Beach,"$11,675,251","7,065,559 Dollars",,8%
5163,Belaguerra,Health,2009,28,WI,Franklin,"$5,050,124","2,563,716 Dollars",,18%
5164,Allpossible,Construction,2010,218,OH,Austin,"$17,182,347","765,840 Dollars",,18%
5165,Comparejson,Construction,2019,472,PA,San Diego,"$18,301,293","5,929,1045 Dollars",,14%
5166,Pickledcanoeing,Retail,2005,464,NV,Staten Island,"$235,852","1,417,873 Dollars",,12%
5167,Assurehelp,Health,2022,274,NC,Vista,"$2,006,960","3,439,445 Dollars",,1%
5168,Shrimpssecurity,Financial Services,2005,143,VA,Ann Arbor,"$10,536,086","6,500,917 Dollars",,5%
5169,Rawfishcomplete,Retail,2012,330,MD,Farmingdale,"$2,827,531","7,237,600 Dollars",,15%
5170,Buretteadmirable,Health,2020,57,TX,Reston,"$12,411,650","2,005,412 Dollars",,26%
5171,Inventtremendous,Construction,2012,246,IL,Minneapolis,"$13,270,509","3,330,1046 Dollars",,10%
5172,Overviewparrot,Financial Services,2006,33,OH,Aliso Viejo,"$11,409,299","9,331,638 Dollars",,8%
5173,Belaguerra,Health,2020,318,MN,Chicago,"$845,331","7,065,560 Dollars",,17%
5174,Allpossible,Health,2016,99,DC,La Crosse,"$11,688,510","2,563,717 Dollars",,22%
5175,Comparejson,Construction,2021,339,CA,Newport Beach,"$15,467,042","765,841 Dollars",,11%
5176,Pickledcanoeing,Health,2009,251,ME,Ashburn,"$8,662,560","5,929,1046 Dollars",,20%
5177,Assurehelp,IT Services,2006,269,MN,Smyrna,"$3,194,863","1,417,874 Dollars",,66%
5178,Shrimpssecurity,IT Services,2018,363,TX,West Chester,"$5,430,953","3,439,446 Dollars",,77%
5179,Rawfishcomplete,IT Services,2005,76,MI,Newark,"$19,408,641","6,500,918 Dollars",,65%
5180,Buretteadmirable,Government Services,2014,336,CA,San Antonio,"$18,126,694","7,237,601 Dollars",,5%
5181,Inventtremendous,Government Services,2012,348,WI,Herndon,"$18,079,213","2,005,413 Dollars",,5%
5182,Overviewparrot,Software,2008,57,OH,Chicago,"$9,366,037","3,330,1047 Dollars",,44%
5183,Belaguerra,Software,2015,419,PA,Minneapolis,"$2,840,934","9,331,639 Dollars",,43%
5184,Allpossible,Retail,2013,78,NV,Kittery,"$11,909,150","7,065,561 Dollars",,13%
5185,Comparejson,Health,2012,380,NC,San Diego,"$5,259,958","2,563,718 Dollars",,2%
5186,Pickledcanoeing,IT Services,2019,346,VA,Jackson,"$11,517,462","765,842 Dollars",,68%
5187,Assurehelp,Software,2016,459,MD,North Charleston,"$8,236,490","5,929,1047 Dollars",,47%
5188,Shrimpssecurity,Software,2016,315,TX,Tampa,"$6,204,593","1,417,875 Dollars",,58%
5189,Rawfishcomplete,Financial Services,2008,296,IL,Chapel Hill,"$937,542","3,439,447 Dollars",,5%
5190,Buretteadmirable,Government Services,2022,314,OH,Chesapeake,"$9,442,146","6,500,919 Dollars",,8%
5191,Inventtremendous,IT Services,2014,261,MN,Chesapeake,"$15,659,645","7,237,602 Dollars",,65%
5192,Overviewparrot,Retail,2009,47,DC,Dallas,"$2,493,129","2,005,414 Dollars",,12%
5193,Belaguerra,Health,2015,469,CA,Woodbine,"$13,325,907","3,330,1048 Dollars",,9%
5194,Allpossible,Software,2008,152,ME,Roswell,"$17,121,662","9,331,640 Dollars",,64%
5195,Comparejson,Government Services,2005,448,MN,Orlando,"$7,904,689","7,065,562 Dollars",,9%
5196,Pickledcanoeing,Financial Services,2009,128,TX,San Diego,"$10,528,260","2,563,719 Dollars",,12%
5197,Assurehelp,Construction,2017,405,MI,Montgomery,"$6,025,814","765,843 Dollars",,2%
5198,Shrimpssecurity,Software,2019,173,CA,Oklahoma City,"$6,148,018","5,929,1048 Dollars",,64%
5199,Rawfishcomplete,Health,2017,150,WI,Glen Allen,"$2,892,970","1,417,876 Dollars",,2%
5200,Buretteadmirable,Retail,2016,17,OH,Golden Valley,"$1,247,441","3,439,448 Dollars",,10%
5201,Inventtremendous,Retail,2005,85,PA,Westchester,"$18,488,528","6,500,920 Dollars",,11%
5202,Overviewparrot,Government Services,2019,74,NV,Warren,"$4,177,197","7,237,603 Dollars",,13%
5203,Belaguerra,Software,2018,31,NC,Columbus,"$8,884,883","2,005,415 Dollars",,41%
5204,Allpossible,Health,2009,94,VA,Encino,"$15,498,724","3,330,1049 Dollars",,8%
5205,Comparejson,IT Services,2012,465,MD,Pasadena,"$1,370,882","9,331,641 Dollars",,78%
5206,Pickledcanoeing,Health,2017,474,TX,Addison,"$7,104,833","7,065,563 Dollars",,22%
5207,Assurehelp,IT Services,2019,71,IL,Orlando,"$6,597,528","2,563,720 Dollars",,64%
5208,Shrimpssecurity,Software,2014,367,OH,Spring Hill,"$7,270,855","765,844 Dollars",,40%
5209,Rawfishcomplete,Construction,2008,444,MN,Houston,"$1,919,938","5,929,1049 Dollars",,2%
5210,Buretteadmirable,Software,2018,485,DC,Moorestown,"$7,833,354","1,417,877 Dollars",,47%
5211,Inventtremendous,Software,2022,231,CA,Ashburn,"$5,296,995","3,439,449 Dollars",,41%
5212,Overviewparrot,Financial Services,2018,97,ME,Dallas,"$13,387,977","6,500,921 Dollars",,9%
5213,Belaguerra,IT Services,2016,57,MN,Sterling,"$9,199,758","7,237,604 Dollars",,84%
5214,Allpossible,IT Services,2011,212,TX,Annapolis,"$14,933,119","2,005,416 Dollars",,85%
5215,Comparejson,Health,2022,129,MI,New York,"$14,322,490","3,330,1050 Dollars",,25%
5216,Pickledcanoeing,IT Services,2014,68,CA,Walnut,"$12,629,622","9,331,642 Dollars",,86%
5217,Assurehelp,IT Services,2022,440,WI,Plano,"$11,750,250","7,065,564 Dollars",,78%
5218,Shrimpssecurity,Software,2015,133,OH,Stafford,"$17,666,655","2,563,721 Dollars",,61%
5219,Rawfishcomplete,Health,2006,475,PA,Scarsdale,"$13,980,995","765,845 Dollars",,26%
5220,Buretteadmirable,Government Services,2016,212,NV,Greensboro,"$13,313,207","5,929,1050 Dollars",,7%
5221,Inventtremendous,Software,2011,225,NC,Coronado,"$5,724,894","1,417,878 Dollars",,56%
5222,Overviewparrot,Software,2013,394,VA,Framingham,"$3,842,701","3,439,450 Dollars",,55%
5223,Belaguerra,Construction,2009,178,MD,Huntsville,"$9,909,802","6,500,922 Dollars",,13%
5224,Allpossible,Software,2022,403,TX,Scottsdale,"$16,731,683","7,237,605 Dollars",,42%
5225,Comparejson,Health,2005,447,IL,Omaha,"$12,472,327","2,005,417 Dollars",,18%
5226,Pickledcanoeing,Government Services,2022,360,OH,Sterling,"$5,310,136","3,330,1051 Dollars",,14%
5227,Assurehelp,Software,2019,51,MN,Boston,"$6,423,490","9,331,643 Dollars",,62%
5228,Shrimpssecurity,Health,2020,27,DC,Willow Grove,"$10,436,125","7,065,565 Dollars",,7%
5229,Rawfishcomplete,Software,2005,485,CA,Rockville,"$17,644,894","2,563,722 Dollars",,54%
5230,Buretteadmirable,Construction,2010,293,ME,Canton,"$5,563,692","765,846 Dollars",,5%
5231,Inventtremendous,Construction,2016,445,MN,Independence,"$15,771,991","5,929,1051 Dollars",,8%
5232,Overviewparrot,Software,2015,282,TX,Irmo,"$12,169,725","1,417,879 Dollars",,59%
5233,Belaguerra,IT Services,2008,222,MI,Sterling,"$2,977,951","3,439,451 Dollars",,89%
5234,Allpossible,IT Services,2009,69,CA,Hanover,"$4,172,519","6,500,923 Dollars",,65%
5235,Comparejson,Software,2011,162,WI,Cincinnati,"$9,799,445","7,237,606 Dollars",,55%
5236,Pickledcanoeing,Software,2016,257,OH,San Luis Obispo,"$6,107,667","2,005,418 Dollars",,59%
5237,Assurehelp,Software,2022,20,PA,Boston,"$15,948,232","3,330,1052 Dollars",,49%
5238,Shrimpssecurity,Software,2013,128,NV,Bellevue,"$15,387,489","9,331,644 Dollars",,59%
5239,Rawfishcomplete,IT Services,2020,229,NC,Atlanta,"$14,708,711","7,065,566 Dollars",,89%
5240,Buretteadmirable,IT Services,2010,487,VA,Fort Worth,"$2,269,850","2,563,723 Dollars",,82%
5241,Inventtremendous,Health,2009,457,MD,Minnetonka,"$8,514,719","765,847 Dollars",,15%
5242,Overviewparrot,IT Services,2005,51,TX,Annapolis,"$19,228,766","5,929,1052 Dollars",,76%
5243,Belaguerra,IT Services,2019,217,IL,Washington,"$9,858,354","1,417,880 Dollars",,70%
5244,Allpossible,Government Services,2006,209,OH,Falls Church,"$18,200,655","3,439,452 Dollars",,14%
5245,Comparejson,Government Services,2021,404,MN,Richmond,"$12,297,662","6,500,924 Dollars",,9%
5246,Pickledcanoeing,Financial Services,2010,198,DC,Cranbury,"$2,468,597","7,237,607 Dollars",,11%
5247,Assurehelp,IT Services,2011,12,CA,Stafford,"$19,373,937","2,005,419 Dollars",,87%
5248,Shrimpssecurity,Retail,2011,236,ME,Columbia,"$2,169,125","3,330,1053 Dollars",,10%
5249,Rawfishcomplete,Financial Services,2009,309,MN,South Jordan,"$13,304,435","9,331,645 Dollars",,5%
5250,Buretteadmirable,Retail,2010,154,TX,Pembroke Pines,"$7,931,763","7,065,567 Dollars",,12%
5251,Inventtremendous,Software,2006,242,MI,Falls Church,"$3,645,967","2,563,724 Dollars",,53%
5252,Overviewparrot,Software,2021,129,CA,Worley,"$13,045,025","765,848 Dollars",,59%
5253,Belaguerra,IT Services,2012,57,WI,Apopka,"$7,402,678","5,929,1053 Dollars",,64%
5254,Allpossible,Software,2020,180,OH,Anderson,"$13,536,136","1,417,881 Dollars",,54%
5255,Comparejson,Construction,2010,316,PA,Jacksonville,"$3,608,575","3,439,453 Dollars",,10%
5256,Pickledcanoeing,IT Services,2005,38,NV,Louisville,"$17,049,578","6,500,925 Dollars",,84%
5257,Assurehelp,Government Services,2016,249,NC,Reston,"$7,964,916","7,237,608 Dollars",,9%
5258,Shrimpssecurity,Software,2021,474,VA,Tampa,"$11,559,856","2,005,420 Dollars",,61%
5259,Rawfishcomplete,Software,2022,405,MD,Baltimore,"$18,288,704","3,330,1054 Dollars",,62%
5260,Buretteadmirable,Software,2015,378,TX,Reston,"$1,820,170","9,331,646 Dollars",,59%
5261,Inventtremendous,Software,2013,80,IL,Salt Lake City,"$767,965","7,065,568 Dollars",,45%
5262,Overviewparrot,Construction,2022,31,OH,Rutherford,"$16,203,487","2,563,725 Dollars",,6%
5263,Belaguerra,IT Services,2015,245,MN,Sterling Heights,"$6,842,675","765,849 Dollars",,63%
5264,Allpossible,Retail,2006,496,DC,Boston,"$11,307,522","5,929,1054 Dollars",,10%
5265,Comparejson,IT Services,2020,231,CA,Rockville,"$9,834,677","1,417,882 Dollars",,87%
5266,Pickledcanoeing,IT Services,2017,478,ME,North Hollywood,"$2,468,610","3,439,454 Dollars",,65%
5267,Assurehelp,IT Services,2015,389,MN,San Francisco,"$8,421,622","6,500,926 Dollars",,82%
5268,Shrimpssecurity,IT Services,2010,225,TX,Edina,"$13,978,869","7,237,609 Dollars",,81%
5269,Rawfishcomplete,Health,2014,72,MI,Broomfield,"$19,600,210","2,005,421 Dollars",,12%
5270,Buretteadmirable,IT Services,2008,388,CA,Atlanta,"$6,993,753","3,330,1055 Dollars",,75%
5271,Inventtremendous,IT Services,2006,98,WI,Redwood City,"$10,030,350","9,331,647 Dollars",,60%
5272,Overviewparrot,Construction,2007,169,OH,El Cajon,"$3,357,401","7,065,569 Dollars",,21%
5273,Belaguerra,IT Services,2017,215,PA,Hilton Head Island,"$1,372,592","2,563,726 Dollars",,84%
5274,Allpossible,Health,2017,134,NV,Boardman,"$16,229,104","765,850 Dollars",,19%
5275,Comparejson,IT Services,2015,493,NC,Medford,"$16,130,121","5,929,1055 Dollars",,68%
5276,Pickledcanoeing,Financial Services,2010,465,VA,Charlotte,"$1,437,079","1,417,883 Dollars",,7%
5277,Assurehelp,Government Services,2008,422,MD,Norwalk,"$12,959,567","3,439,455 Dollars",,5%
5278,Shrimpssecurity,IT Services,2006,233,TX,Chantilly,"$15,454,553","6,500,927 Dollars",,81%
5279,Rawfishcomplete,Financial Services,2022,338,IL,Centerville,"$4,539,077","7,237,610 Dollars",,12%
5280,Buretteadmirable,IT Services,2021,477,OH,Savage,"$13,382,588","2,005,422 Dollars",,77%
5281,Inventtremendous,Health,2018,22,MN,Westbury,"$17,478,490","3,330,1056 Dollars",,9%
5282,Overviewparrot,IT Services,2008,454,DC,Austin,"$1,323,687","9,331,648 Dollars",,80%
5283,Belaguerra,IT Services,2021,149,CA,Denver,"$17,051,101","7,065,570 Dollars",,66%
5284,Allpossible,IT Services,2008,150,ME,Maitland,"$19,669,892","2,563,727 Dollars",,62%
5285,Comparejson,Government Services,2016,379,MN,Edison,"$16,660,964","765,851 Dollars",,6%
5286,Pickledcanoeing,IT Services,2006,146,TX,Rockland,"$181,608","5,929,1056 Dollars",,82%
5287,Assurehelp,Government Services,2020,319,MI,Coventry,"$12,395,279","1,417,884 Dollars",,13%
5288,Shrimpssecurity,Retail,2022,334,CA,Summerfield,"$6,048,024","3,439,456 Dollars",,13%
5289,Rawfishcomplete,Health,2008,305,WI,Medley,"$10,733,205","6,500,928 Dollars",,5%
5290,Buretteadmirable,Government Services,2019,306,OH,Tinley Park,"$3,522,305","7,237,611 Dollars",,9%
5291,Inventtremendous,Retail,2020,141,PA,Denver,"$19,530,878","2,005,423 Dollars",,14%
5292,Overviewparrot,Health,2010,352,NV,Santa Ana,"$13,717,261","3,330,1057 Dollars",,21%
5293,Belaguerra,Health,2020,344,NC,Chantilly,"$5,422,049","9,331,649 Dollars",,6%
5294,Allpossible,IT Services,2020,230,VA,San Antonio,"$14,674,911","7,065,571 Dollars",,64%
5295,Comparejson,Financial Services,2016,291,MD,Bellwood,"$16,555,155","2,563,728 Dollars",,11%
5296,Pickledcanoeing,IT Services,2010,124,TX,Downers Grove,"$15,698,206","765,852 Dollars",,61%
5297,Assurehelp,IT Services,2012,85,IL,Memphis,"$13,170,029","5,929,1057 Dollars",,66%
5298,Shrimpssecurity,IT Services,2005,301,OH,Mount Pleasant,"$6,228,919","1,417,885 Dollars",,71%
5299,Rawfishcomplete,IT Services,2018,285,MN,San Diego,"$13,644,057","3,439,457 Dollars",,82%
5300,Buretteadmirable,Software,2017,359,DC,St. Louis,"$17,324,015","6,500,929 Dollars",,53%
5301,Inventtremendous,Software,2011,140,CA,Woodstock,"$14,896,001","7,237,612 Dollars",,62%
5302,Overviewparrot,IT Services,2012,437,ME,Reston,"$15,225,027","2,005,424 Dollars",,75%
5303,Belaguerra,Retail,2020,410,MN,Iselin,"$2,885,625","3,330,1058 Dollars",,14%
5304,Allpossible,Health,2022,148,TX,Burnsville,"$7,628,852","9,331,650 Dollars",,2%
5305,Comparejson,IT Services,2011,448,MI,Austin,"$8,123,228","7,065,572 Dollars",,74%
5306,Pickledcanoeing,Government Services,2011,254,CA,Portland,"$13,773,652","2,563,729 Dollars",,9%
5307,Assurehelp,Software,2010,30,WI,Ashburn,"$6,540,940","765,853 Dollars",,40%
5308,Shrimpssecurity,Government Services,2011,70,OH,Nashville,"$10,502,853","5,929,1058 Dollars",,15%
5309,Rawfishcomplete,IT Services,2006,63,PA,Minneapolis,"$718,209","1,417,886 Dollars",,78%
5310,Buretteadmirable,IT Services,2019,159,NV,Chantilly,"$16,967,068","3,439,458 Dollars",,78%
5311,Inventtremendous,Government Services,2006,424,NC,Westlake,"$19,177,992","6,500,930 Dollars",,6%
5312,Overviewparrot,Government Services,2020,136,VA,Lewisville,"$11,773,408","7,237,613 Dollars",,6%
5313,Belaguerra,IT Services,2009,336,MD,Irving,"$9,960,146","2,005,425 Dollars",,84%
5314,Allpossible,Retail,2008,30,TX,Omaha,"$13,800,453","3,330,1059 Dollars",,14%
5315,Comparejson,Government Services,2021,468,IL,Norwalk,"$15,106,833","9,331,651 Dollars",,14%
5316,Pickledcanoeing,Construction,2019,434,OH,Littleton,"$6,178,181","7,065,573 Dollars",,7%
5317,Assurehelp,Construction,2007,43,MN,Charlotte,"$15,809,158","2,563,730 Dollars",,3%
5318,Shrimpssecurity,Software,2005,127,DC,Rochester Hills,"$19,896,428","765,854 Dollars",,41%
5319,Rawfishcomplete,IT Services,2022,355,CA,Sterling,"$7,330,937","5,929,1059 Dollars",,78%
5320,Buretteadmirable,IT Services,2005,85,ME,Arvada,"$16,292,774","1,417,887 Dollars",,72%
5321,Inventtremendous,IT Services,2011,328,MN,Schaumburg,"$17,716,231","3,439,459 Dollars",,66%
5322,Overviewparrot,Health,2008,104,TX,Bakersfield,"$9,626,255","6,500,931 Dollars",,9%
5323,Belaguerra,Software,2017,382,MI,Roswell,"$13,808,608","7,237,614 Dollars",,60%
5324,Allpossible,Software,2007,478,CA,Boca Raton,"$10,383,163","2,005,426 Dollars",,42%
5325,Comparejson,Health,2009,122,WI,New York,"$3,297,953","3,330,1060 Dollars",,12%
5326,Pickledcanoeing,Health,2010,64,OH,Trenton,"$7,132,651","9,331,652 Dollars",,18%
5327,Assurehelp,IT Services,2009,380,PA,Oakbrook Terrace,"$12,233,090","7,065,574 Dollars",,62%
5328,Shrimpssecurity,IT Services,2014,144,NV,Lombard,"$1,569,120","2,563,731 Dollars",,90%
5329,Rawfishcomplete,Government Services,2014,147,NC,Atlanta,"$17,543,958","765,855 Dollars",,5%
5330,Buretteadmirable,IT Services,2017,59,VA,Corona,"$6,797,414","5,929,1060 Dollars",,74%
5331,Inventtremendous,Software,2013,191,MD,New York,"$18,402,626","1,417,888 Dollars",,45%
5332,Overviewparrot,IT Services,2020,40,TX,Troy,"$5,872,481","3,439,460 Dollars",,77%
5333,Belaguerra,IT Services,2017,415,IL,Hendersonville,"$6,961,582","6,500,932 Dollars",,77%
